Year,Area (ha)
2001,3.359169806330683
2002,4.508359476917496
2003,33.14970203615806
2004,12.375888760165676
2005,5.0387547094960246
2006,49.06155901351393
2007,2.7403753683223995
2008,0.3535968217190193
2009,38.630452772802855
2010,0.26519761628926447
2011,16.4422522099344
2012,10.607904651570578
2013,2.033181724884361
2014,11.9338927330169
2015,198.10261936808055
2016,380.5585793750945
2017,2.7403753683223995
2018,3.535968217190193
2019,15.293062539347584
2020,28.72974176467032
2022,0.5303952325785289
