Year,Area (ha)
2001,17291.803044747776
2002,32628.635970483647
2003,87593.48183194132
2004,40688.529241511686
2005,28540.44868229239
2006,44015.90968788764
2007,160816.23588064933
2008,25681.062533153145
2009,69240.39615702632
2010,37909.68378443004
2011,34972.28581367839
2012,60015.4599351403
2013,21283.43346139519
2014,92683.17844886788
2015,152719.1758773207
2016,463875.6102383009
2017,25330.699027836912
2018,33506.99697178169
2019,57497.394663664774
2020,31510.645336393853
2021,11668.744661198067
2022,10825.404683944098
