Year,Area (ha)
2001,490.06443930387434
2002,908.5541817649311
2003,2790.723484930288
2004,1294.3218733139074
2005,906.331841070668
2006,1636.6389726681539
2007,3949.482575894148
2008,1292.3294299328438
2009,2824.978184597033
2010,2204.561968708969
2011,1486.5160271487966
2012,2127.0099417229612
2013,725.939082646693
2014,1558.7804159312132
2015,1407.8145135967904
2016,2722.9037775363977
2017,671.9898464825135
2018,571.4480881765428
2019,556.3514979431005
2020,604.5533012772893
2021,27.20451539528935
2022,17.54882824090496
