Year,Area (ha)
2001,80.44327694107683
2002,96.62033153472194
2003,242.30222208295777
2004,376.9342119524743
2005,239.20824989291637
2006,444.02920887365815
2007,321.5963093534478
2008,288.35820811186
2009,1134.338604074613
2010,665.4692184751938
2011,898.8431208097463
2012,1505.8804644958723
2013,639.9218481059946
2014,925.274483233243
2015,337.9501623579524
2016,318.14874034168736
2017,390.1940927669375
2018,498.3947202129573
2019,409.99551478320257
2020,104.48786081797012
2021,43.050413044290565
