Year,Area (ha)
2001,396449.3337797325
2002,434096.3215676131
2003,360528.7981815434
2004,625044.0488027715
2005,567790.2686586607
2006,750649.3654586412
2007,836743.6102787699
2008,819283.9821953864
2009,1197176.6179131467
2010,692236.7495911287
2011,930759.8866144445
2012,1282817.9650262722
2013,737280.8366960827
2014,1241702.1333119601
2015,1082892.6710782307
2016,1559771.7331457285
2017,785850.3224665154
2018,785431.6794591789
2019,729763.8842463945
2020,529936.1433915873
2021,463715.06528124947
