Year,Area (ha)
2001,143.56030961792172
2002,547.191081610182
2003,436.16167959040996
2004,876.8317186577374
2005,413.443083794963
2006,1258.2742900871292
2007,624.3635879503578
2008,132.15681211748335
2009,1541.1517474623445
2010,371.27666280497
2011,1417.4812590661174
2012,3670.777005470566
2013,979.1095993399637
2014,1279.4900993902704
2015,1894.7485691813633
2016,1807.4985534221955
2017,693.4033673909963
2018,1048.591374807751
2019,1554.6768258930967
2020,775.3494308243789
2021,955.5070114902192
